item,itemLabel,enLabel,pubYear,imdbID,tmdbID,type,genres,cast,directors,screenwriters,runtimes
http://www.wikidata.org/entity/Q110393291,승부,The Match,2025,tt13498824,760497,movie,"드라마 영화, 전기 영화","현봉식, 김강훈, 고창석, 문정희, 유아인, 이병헌",김형주,"윤종빈, 김형주",115
http://www.wikidata.org/entity/Q110585119,하이파이브,Hi-Five,2025,tt14044924,793058,movie,액션 영화,"이재인, 안재홍, 라미란, 김희원, 오정세, 신구, 박진영, 유아인",강형철,,119
http://www.wikidata.org/entity/Q112977213,미키 17,Mickey 17,2025,tt12299608,696506,movie,"드라마 영화, 코미디 영화, 액션 영화, SF 영화, 모험 영화","브론윈 제임스, 나오미 애키, 패치 퍼랜, 캐머런 브리턴, 스티브 박, 토머스 터구스, 대니얼 헨셜, 스티븐 연, 아나마리아 바르톨로메이, 아나 무글라리스, 토니 콜렛, 홀리데이 그레인저, 마크 러팔로, 로버트 패틴슨",봉준호,봉준호,137
http://www.wikidata.org/entity/Q120922062,보통의 가족,A Normal Family,2025,tt28488187,973628,movie,"드라마 영화, 스릴러 영화",,허진호,,109
http://www.wikidata.org/entity/Q125971387,부고니아,,2025,tt12300742,701387,movie,"코미디 영화, SF 영화","제시 플레먼스, 얼리시아 실버스톤, 엠마 스톤",요르고스 란티모스,,118
http://www.wikidata.org/entity/Q126209959,설계자 (영화),The Plot,2025,tt26591189,865910,movie,"액션 영화, 범죄 영화, 스릴러 영화","이무생, 강동원, 이미숙",이요섭,,99
http://www.wikidata.org/entity/Q126724933,전지적 독자 시점,Omniscient Reader: The Prophecy,2025,tt30254719,1131759,movie,판타지 영화,"권은성, 신승호, 지수, 안효섭, 채수빈, 이민호, 나나",김병우,,117
http://www.wikidata.org/entity/Q126921922,리볼버,Revolver,2025,tt28284984,1089223,movie,스릴러 영화,"임지연, 지창욱, 전도연",오승욱,,114
http://www.wikidata.org/entity/Q128738602,세상 참 예쁜 오드리,Beautiful Audrey,2025,tt26625978,1059191,movie,드라마 영화,"박지훈, 김정난, 장신영, 이필모",,,100
http://www.wikidata.org/entity/Q129906152,어쩔수가없다,No Other Choice,2025,tt1527793,639988,movie,"드라마 영화, 스릴러 영화","윤가이, 염혜란, 이성민, 유연석, 박희순, 차승원, 이병헌, 손예진",박찬욱,"돈 맥켈러, 이경미, 박찬욱",139
http://www.wikidata.org/entity/Q130265921,"그 시절, 우리가 좋아했던 소녀 (2025년 영화)",You Are the Apple of My Eye,2025,tt33381920,1290182,movie,"로맨스 영화, 성장물","다현, 진영",,,101
http://www.wikidata.org/entity/Q130597773,소방관,Firefighters,2025,tt32628369,645985,movie,"드라마 영화, 액션 영화",,곽경택,,106
http://www.wikidata.org/entity/Q130598232,파과,The Old Woman with the Knife,2025,tt34509472,1247002,movie,"드라마 영화, 액션 영화, 공포 영화, 스릴러 영화","신시아, 옥자연, 최무성, 김성철, 이혜영, 연우진, 김무열, 김강우",민규동,민규동,120
http://www.wikidata.org/entity/Q131823316,이 별에 필요한,Lost in Starlight,2025,tt28664733,1165642,movie,"SF 영화, 애니메이션 영화, 로맨스 영화",,한지원,,96
http://www.wikidata.org/entity/Q131858968,계시록,Revelations,2025,tt32648798,1210938,movie,"드라마 영화, 범죄 영화, 미스터리 영화, 스릴러 영화","신민재, 한지현, 류준열, 신현빈",연상호,"연상호, 최규석",122
http://www.wikidata.org/entity/Q131858995,고백의 역사,Love Untangled,2025,tt33549683,1355666,movie,"로맨틱 코미디, 로맨스 영화","윤상현, 최규리, 차우민, 신은수, 강미나, 공명",남궁선,,119
http://www.wikidata.org/entity/Q131859817,굿뉴스,Good News,2025,tt33550069,1296404,movie,"재난 영화, 액션 스릴러","홍경, 가사마쓰 쇼, 야마다 다카유키, 시나 깃페이, 류승범, 김성오, 설경구",변성현,변성현,136
http://www.wikidata.org/entity/Q133917515,야당 (영화),Yadang: The Snitch,2025,tt35851026,1137179,movie,"범죄 영화, 드라마 영화, 액션 영화","강하늘, 유해진, 김금순, 채원빈, 유성주, 곽자형, 임성균, 류경수, 조완기, 박해준",황병국,,122
http://www.wikidata.org/entity/Q134285109,얼굴,The Ugly,2025,tt33514451,1316719,movie,"미스터리 영화, 스릴러 영화","한지현, 임성재, 박정민, 신현빈, 권해효",연상호,연상호,102
http://www.wikidata.org/entity/Q134606127,신명,The Pact,2025,tt37136605,1469823,movie,,"김규리, 안내상",,,118
http://www.wikidata.org/entity/Q135110499,좀비딸,My Daughter Is a Zombie,2025,tt36553678,1306816,movie,"코미디 드라마, 좀비 영화, 한국의 공포 영화, 각색","이정은, 최유리, 윤경호, 조여정, 조정석",필감성,,113
http://www.wikidata.org/entity/Q135437367,프로젝트 Y,Project Y,2025,tt37658798,1401542,movie,"범죄 영화, 네오누아르","김신록, 전종서, 유아, 김성철, 한소희",이환,,110
http://www.wikidata.org/entity/Q135653079,강령: 귀신놀이,The Ghost Game,2025,tt37285917,1354700,movie,공포 영화,"오소현, 이찬형, 김은비, 박서연, 예리, 서동현",,,94
http://www.wikidata.org/entity/Q132153221,백수아파트,The Noisy Mansion,2025,tt35684021,1204886,movie,,"김주령, 최유정, 고규필, 이지훈, 경수진",이루다,,98
http://www.wikidata.org/entity/Q132731541,사마귀,Mantis,2025,tt33312131,1267319,movie,"필름 누아르, 액션 영화, 스릴러 영화","최현욱, 박규영, 조우진, 전도연, 임시완, 설경구",,,113
http://www.wikidata.org/entity/Q121323115,대도시의 사랑법,Love in the Big City,2025,tt33022813,1154154,movie,로맨스 영화,"정휘, 노상현, 오동민, 장혜진, 김고은",이언희,,
http://www.wikidata.org/entity/Q134620646,괴기열차,Ghost Train,2025,tt33083649,1241624,movie,공포 영화,"주현영, 최보민, 전배수",,조바른,
http://www.wikidata.org/entity/Q135488622,세계의 주인,The World of Love,2025,tt37661885,1317512,movie,드라마 영화,"서수빈, 장혜진",윤가은,,
http://www.wikidata.org/entity/Q124436027,대홍수,The Great Flood,2025,tt29927663,982843,movie,"SF 영화, 재난 영화","김다미, 박해수",김병우,김병우,
http://www.wikidata.org/entity/Q127510067,하얼빈 (영화),Harbin,2025,tt23630030,610251,movie,전기 영화,현빈,우민호,,
http://www.wikidata.org/entity/Q130598116,거룩한 밤: 데몬 헌터스,Holy Night: Demon Hunters,2025,tt15766876,793387,movie,,마동석,,,
http://www.wikidata.org/entity/Q131290723,청설,Hear Me: Our Summer,2025,tt31450914,1160981,movie,"드라마 영화, 로맨스 영화","노윤서, 김민주, 홍경, 현봉식, 니콜, 정혜영",,,
http://www.wikidata.org/entity/Q131468788,검은 수녀들,Dark Nuns,2025,tt32491690,1224993,movie,,"문우진, 전여빈, 허준호, 송혜교, 이진욱",권혁재,,
http://www.wikidata.org/entity/Q131545925,브로큰 (2025년 영화),Nocturnal,2025,tt34574758,766369,movie,"드라마 영화, 스릴러 영화","유다인, 하정우, 김남길",김진황,,
http://www.wikidata.org/entity/Q131858979,84제곱미터,Wall to Wall,2025,tt32237537,1269208,movie,스릴러 영화,"염혜란, 서현우, 강하늘",김태준,,
http://www.wikidata.org/entity/Q132564206,기타맨,Guitar Man,2025,tt37070533,1387797,movie,뮤지컬 영화,"이선정, 김지은, 김새론",이선정,,
http://www.wikidata.org/entity/Q133575909,노이즈,Noise,2025,tt29845247,1194963,movie,"공포 영화, 스릴러 영화","백주희, 한수아, 류경수, 이선빈, 전익령, 김민석",김수진,,
http://www.wikidata.org/entity/Q134268198,문워크,Moon's Walking,2025,tt35513806,1338621,movie,,"황지아, 유승목",,,
http://www.wikidata.org/entity/Q101010925,원더랜드,Wonderland,2024,tt31254554,635996,movie,"드라마 영화, SF 영화","박보검, 최무성, 공유, 최우식, 정유미, 탕웨이, 수지",김태용,김태용,113
http://www.wikidata.org/entity/Q110761576,비밀의 언덕,The Hill of Secrets,2024,tt17080040,927035,movie,어린이 영화,"임선우, 장선, 문승아, 강길우",이지은,이지은,122
http://www.wikidata.org/entity/Q111946850,보고타: 마지막 기회의 땅,Bogota: City of the Lost,2024,tt22507374,636279,movie,"드라마 영화, 범죄 영화, 스릴러 영화","조현철, 박지환, 김종수, 권해효, 이희준, 송중기",김성제,,108
http://www.wikidata.org/entity/Q114363980,천박사와 사라진 설경,Dr. Cheon and Lost Talisman,2024,tt29005755,950253,movie,"판타지 영화, 공포 영화","박소이, 김종수, 이동휘, 이솜, 허준호, 강동원",김성식,,98
http://www.wikidata.org/entity/Q114554516,데시벨,Decibel,2024,tt17494686,774548,movie,액션 영화,"이상희, 차은우, 정상훈, 박병은, 조달환, 김래원, 이종석",황인호,,110
http://www.wikidata.org/entity/Q115283311,범죄도시4,The Roundup: Punishment,2024,tt27811040,1017163,movie,"액션 영화, 범죄 영화","이주빈, 박지환, 이동휘, 김민재, 마동석, 김무열, 이범수",허명행,오상훈,109
http://www.wikidata.org/entity/Q115778970,시민덕희,Citizen of a Kind,2024,tt30364726,696047,movie,코미디 드라마,"이무생, 심완준, 안은진, 염혜란, 김율호, 이주승, 공명, 박병은, 성혁, 라미란, 장윤주",박영주,박영주,114
http://www.wikidata.org/entity/Q116442876,밀수,Smugglers,2024,tt28106766,783110,movie,"액션 영화, 범죄 영화","김종수, 박정민, 조인성, 김혜수, 염정아, 고민시",류승완,류승완,129
http://www.wikidata.org/entity/Q116499151,외계+인 2부,Alienoid 2,2024,tt20201212,626412,movie,"판타지 영화, 액션 영화, SF 영화","조우진, 류준열, 김태리, 진선규, 김우빈, 김의성, 이하늬, 염정아",최동훈,최동훈,"122, 123"
http://www.wikidata.org/entity/Q116700659,로기완,My Name Is Loh Kiwan,2024,tt26672512,1039882,movie,"드라마 영화, 로맨스 영화","서현우, 와엘 세르숩, 최성은, 이상희, 조한철, 김성령, 이일화, 송중기",,,133
http://www.wikidata.org/entity/Q117322466,파묘,Exhuma,2024,tt27802490,838209,movie,"공포 영화, 미스터리 영화, 스릴러 영화","이도현, 유해진, 김고은, 최민식",장재현,장재현,134
http://www.wikidata.org/entity/Q117842179,탈출: PROJECT SILENCE,Project Silence,2024,tt25808194,726139,movie,"액션 영화, 재난 영화","박주현, 김태우, 김수안 (Kim Su An), 예수정, 박희본, 김희원, 주지훈, 이선균, 문성근",김태곤,"김용화, 김태곤",96
